 247: #000000, #3003d8, #ea1e27, #f384ff, #ffffff
 248: #000000, #3000d8, #ea1e27, #f384ff, #ffffff
 249: #000000, #270cd8, #ea1e27, #f384ff, #ffffff
 250: #000000, #3003d8, #e13030, #f384ff, #ffffff
 251: #000000, #3000d8, #e13030, #f384ff, #ffffff
 252: #000000, #270cd8, #e13030, #f384ff, #ffffff
 253: #000000, #3003d8, #ea1539, #f384ff, #ffffff
 254: #000000, #3000d8, #ea1539, #f384ff, #ffffff
 255: #000000, #270cd8, #ea1539, #f384ff, #ffffff
 256: #000000, #3003d8, #ea1542, #f384ff, #ffffff
 257: #000000, #3000d8, #ea1542, #f384ff, #ffffff
 258: #000000, #270cd8, #ea1542, #f384ff, #ffffff
 259: #000000, #1515d8, #7b7b00, #f384ff, #ffffff
 260: #000000, #1515d8, #7b7b03, #f384ff, #ffffff
 261: #000000, #1515d8, #7b7b0c, #f384ff, #ffffff
 262: #000000, #1515d8, #7b7b15, #f384ff, #ffffff
 263: #000000, #1515d8, #7b7b1e, #f384ff, #ffffff
 264: #000000, #1515d8, #7b7b27, #f384ff, #ffffff
 265: #000000, #1515d8, #7b7b30, #f384ff, #ffffff
 266: #000000, #1515d8, #ea1e15, #f384ff, #ffffff
 267: #000000, #1515d8, #ea1e0c, #f384ff, #ffffff
 268: #000000, #1515d8, #ea1e03, #f384ff, #ffffff
 269: #000000, #1515d8, #ea1e00, #f384ff, #ffffff
 270: #000000, #1515d8, #ea1e1e, #f384ff, #ffffff
 271: #000000, #1515d8, #ea1e27, #f384ff, #ffffff
 272: #000000, #1515d8, #e13030, #f384ff, #ffffff
 273: #000000, #1515d8, #ea1539, #f384ff, #ffffff
 274: #000000, #1515d8, #ea1542, #f384ff, #ffffff
 275: #000000, #0c15d8, #7b7b00, #f384ff, #ffffff
 276: #000000, #0c15d8, #7b7b03, #f384ff, #ffffff
 277: #000000, #0c15d8, #7b7b0c, #f384ff, #ffffff
 278: #000000, #0c15d8, #7b7b15, #f384ff, #ffffff
 279: #000000, #0c15d8, #7b7b1e, #f384ff, #ffffff
 280: #000000, #0c15d8, #7b7b27, #f384ff, #ffffff
 281: #000000, #0c15d8, #7b7b30, #f384ff, #ffffff
 282: #000000, #0c15d8, #ea1e15, #f384ff, #ffffff
 283: #000000, #0c15d8, #ea1e0c, #f384ff, #ffffff
 284: #000000, #0c15d8, #ea1e03, #f384ff, #ffffff
 285: #000000, #0c15d8, #ea1e00, #f384ff, #ffffff
 286: #000000, #0c15d8, #ea1e1e, #f384ff, #ffffff
 287: #000000, #0c15d8, #ea1e27, #f384ff, #ffffff
 288: #000000, #0c15d8, #e13030, #f384ff, #ffffff
 289: #000000, #0c15d8, #ea1539, #f384ff, #ffffff
 290: #000000, #0c15d8, #ea1542, #f384ff, #ffffff
 291: #000000, #4200cf, #7b7b00, #f384ff, #ffffff
 292: #000000, #4200cf, #7b7b03, #f384ff, #ffffff
 293: #000000, #4200cf, #7b7b0c, #f384ff, #ffffff
 294: #000000, #4200cf, #7b7b15, #f384ff, #ffffff
 295: #000000, #4200cf, #7b7b1e, #f384ff, #ffffff
 296: #000000, #4200cf, #7b7b27, #f384ff, #ffffff
 297: #000000, #4200cf, #7b7b30, #f384ff, #ffffff
 298: #000000, #4200cf, #ea1e15, #f384ff, #ffffff
 299: #000000, #4200cf, #ea1e0c, #f384ff, #ffffff
 300: #000000, #4200cf, #ea1e03, #f384ff, #ffffff
 301: #000000, #4200cf, #ea1e00, #f384ff, #ffffff
 302: #000000, #4200cf, #ea1e1e, #f384ff, #ffffff
 303: #000000, #4200cf, #ea1e27, #f384ff, #ffffff
 304: #000000, #4200cf, #e13030, #f384ff, #ffffff
 305: #000000, #4200cf, #ea1539, #f384ff, #ffffff
 306: #000000, #4200cf, #ea1542, #f384ff, #ffffff
 307: #000000, #390ccf, #7b7b00, #f384ff, #ffffff
 308: #000000, #390ccf, #7b7b03, #f384ff, #ffffff
 309: #000000, #390ccf, #7b7b0c, #f384ff, #ffffff
 310: #000000, #390ccf, #7b7b15, #f384ff, #ffffff
 311: #000000, #390ccf, #7b7b1e, #f384ff, #ffffff
 312: #000000, #390ccf, #7b7b27, #f384ff, #ffffff
 313: #000000, #390ccf, #7b7b30, #f384ff, #ffffff
 314: #000000, #390ccf, #ea1e15, #f384ff, #ffffff
 315: #000000, #390ccf, #ea1e0c, #f384ff, #ffffff
 316: #000000, #390ccf, #ea1e03, #f384ff, #ffffff
 317: #000000, #390ccf, #ea1e00, #f384ff, #ffffff
 318: #000000, #390ccf, #ea1e1e, #f384ff, #ffffff
 319: #000000, #390ccf, #ea1e27, #f384ff, #ffffff
 320: #000000, #390ccf, #e13030, #f384ff, #ffffff
 321: #000000, #390ccf, #ea1539, #f384ff, #ffffff
 322: #000000, #390ccf, #ea1542, #f384ff, #ffffff
 323: #000000, #3015cf, #7b7b00, #f384ff, #ffffff
 324: #000000, #3015cf, #7b7b03, #f384ff, #ffffff
 325: #000000, #3015cf, #7b7b0c, #f384ff, #ffffff
 326: #000000, #3015cf, #7b7b15, #f384ff, #ffffff
 327: #000000, #3015cf, #7b7b1e, #f384ff, #ffffff
 328: #000000, #3015cf, #7b7b27, #f384ff, #ffffff
 329: #000000, #3015cf, #7b7b30, #f384ff, #ffffff
 330: #000000, #3015cf, #ea1e15, #f384ff, #ffffff
 331: #000000, #3015cf, #ea1e0c, #f384ff, #ffffff
 332: #000000, #3015cf, #ea1e03, #f384ff, #ffffff
 333: #000000, #3015cf, #ea1e00, #f384ff, #ffffff
 334: #000000, #3015cf, #ea1e1e, #f384ff, #ffffff
 335: #000000, #3015cf, #ea1e27, #f384ff, #ffffff
 336: #000000, #3015cf, #e13030, #f384ff, #ffffff
 337: #000000, #3015cf, #ea1539, #f384ff, #ffffff
 338: #000000, #3015cf, #ea1542, #f384ff, #ffffff
 339: #000000, #151ecf, #7b7b00, #f384ff, #ffffff
 340: #000000, #151ecf, #7b7b03, #f384ff, #ffffff
 341: #000000, #151ecf, #7b7b0c, #f384ff, #ffffff
 342: #000000, #151ecf, #7b7b15, #f384ff, #ffffff
 343: #000000, #151ecf, #7b7b1e, #f384ff, #ffffff
 344: #000000, #151ecf, #7b7b27, #f384ff, #ffffff
