 300: #000000, #73048e, #6a7b73, #dca704, #ffffff
 301: #000000, #73048e, #6a7b73, #dca703, #ffffff
 302: #000000, #73048e, #6a7b73, #dca702, #ffffff
 303: #000000, #73048e, #6a7b73, #dca700, #ffffff
 304: #000000, #73038e, #6a7b73, #dca713, #ffffff
 305: #000000, #73038e, #6a7b73, #dca712, #ffffff
 306: #000000, #73038e, #6a7b73, #dca711, #ffffff
 307: #000000, #73038e, #6a7b73, #dca710, #ffffff
 308: #000000, #73038e, #6a7b73, #dca70f, #ffffff
 309: #000000, #73038e, #6a7b73, #dca70e, #ffffff
 310: #000000, #73038e, #6a7b73, #dca70d, #ffffff
 311: #000000, #73038e, #6a7b73, #dca70c, #ffffff
 312: #000000, #73038e, #6a7b73, #dca70b, #ffffff
 313: #000000, #73038e, #6a7b73, #dca70a, #ffffff
 314: #000000, #73038e, #6a7b73, #dca709, #ffffff
 315: #000000, #73038e, #6a7b73, #dca708, #ffffff
 316: #000000, #73038e, #6a7b73, #dca707, #ffffff
 317: #000000, #73038e, #6a7b73, #dca706, #ffffff
 318: #000000, #73038e, #6a7b73, #dca705, #ffffff
 319: #000000, #73038e, #6a7b73, #dca704, #ffffff
 320: #000000, #73038e, #6a7b73, #dca703, #ffffff
 321: #000000, #73038e, #6a7b73, #dca702, #ffffff
 322: #000000, #73038e, #6a7b73, #dca700, #ffffff
 323: #000000, #73028e, #6a7b73, #dca713, #ffffff
 324: #000000, #73028e, #6a7b73, #dca712, #ffffff
 325: #000000, #73028e, #6a7b73, #dca711, #ffffff
 326: #000000, #73028e, #6a7b73, #dca710, #ffffff
 327: #000000, #73028e, #6a7b73, #dca70f, #ffffff
 328: #000000, #73028e, #6a7b73, #dca70e, #ffffff
 329: #000000, #73028e, #6a7b73, #dca70d, #ffffff
 330: #000000, #73028e, #6a7b73, #dca70c, #ffffff
 331: #000000, #73028e, #6a7b73, #dca70b, #ffffff
 332: #000000, #73028e, #6a7b73, #dca70a, #ffffff
 333: #000000, #73028e, #6a7b73, #dca709, #ffffff
 334: #000000, #73028e, #6a7b73, #dca708, #ffffff
 335: #000000, #73028e, #6a7b73, #dca707, #ffffff
 336: #000000, #73028e, #6a7b73, #dca706, #ffffff
 337: #000000, #73028e, #6a7b73, #dca705, #ffffff
 338: #000000, #73028e, #6a7b73, #dca704, #ffffff
 339: #000000, #73028e, #6a7b73, #dca703, #ffffff
 340: #000000, #73028e, #6a7b73, #dca702, #ffffff
 341: #000000, #73028e, #6a7b73, #dca700, #ffffff
 342: #000000, #73078c, #687b72, #dca713, #ffffff
 343: #000000, #73078c, #687b72, #dca712, #ffffff
