 339: #000000, #4b39e1, #ff6927, #ffffff
 340: #000000, #2742e1, #ff6927, #ffffff
 341: #000000, #3942d8, #ff6927, #ffffff
 342: #000000, #1e4bcf, #ff6927, #ffffff
 343: #000000, #154bcf, #ff6927, #ffffff
 344: #000000, #304bc6, #ff6927, #ffffff
 345: #000000, #1554b4, #ff6927, #ffffff
 346: #000000, #0c54b4, #ff6927, #ffffff
 347: #000000, #0354b4, #ff6927, #ffffff
 348: #000000, #0c57ab, #ff6927, #ffffff
 349: #000000, #0357ab, #ff6927, #ffffff
 350: #000000, #0057ab, #ff6927, #ffffff
 351: #000000, #1557a8, #d8841e, #ffffff
 352: #000000, #0c57a8, #d8841e, #ffffff
 353: #000000, #1557a8, #ff690c, #ffffff
 354: #000000, #0c57a8, #ff690c, #ffffff
 355: #000000, #1557a8, #ff6903, #ffffff
 356: #000000, #1557a8, #ff6900, #ffffff
 357: #000000, #0c57a8, #ff6903, #ffffff
 358: #000000, #0c57a8, #ff6900, #ffffff
 359: #000000, #1557a8, #c68d27, #ffffff
 360: #000000, #0c57a8, #c68d27, #ffffff
 361: #000000, #1557a8, #ff6915, #ffffff
 362: #000000, #0c57a8, #ff6915, #ffffff
 363: #000000, #1557a8, #f3721e, #ffffff
 364: #000000, #0c57a8, #f3721e, #ffffff
 365: #000000, #1557a8, #d88427, #ffffff
 366: #000000, #0c57a8, #d88427, #ffffff
 367: #000000, #1557a8, #ff691e, #ffffff
 368: #000000, #0c57a8, #ff691e, #ffffff
 369: #000000, #1557a8, #c68d30, #ffffff
 370: #000000, #0c57a8, #c68d30, #ffffff
 371: #000000, #1557a8, #f37227, #ffffff
 372: #000000, #0c57a8, #f37227, #ffffff
 373: #000000, #1557a8, #d88430, #ffffff
 374: #000000, #0c57a8, #d88430, #ffffff
 375: #000000, #1557a8, #ff6927, #ffffff
 376: #000000, #0c57a8, #ff6927, #ffffff
 377: #000000, #8400d8, #f3721e, #ffffff
 378: #000000, #8400d8, #f37227, #ffffff
 379: #000000, #0357a8, #d8841e, #ffffff
 380: #000000, #0357a8, #ff690c, #ffffff
 381: #000000, #0357a8, #ff6903, #ffffff
 382: #000000, #0357a8, #ff6900, #ffffff
 383: #000000, #0357a8, #c68d27, #ffffff
 384: #000000, #0357a8, #ff6915, #ffffff
 385: #000000, #0357a8, #f3721e, #ffffff
 386: #000000, #0357a8, #d88427, #ffffff
 387: #000000, #0357a8, #ff691e, #ffffff
 388: #000000, #0357a8, #c68d30, #ffffff
 389: #000000, #0357a8, #f37227, #ffffff
 390: #000000, #0357a8, #d88430, #ffffff
 391: #000000, #0357a8, #ff6927, #ffffff
 392: #000000, #9615a8, #54ab30, #ffffff
 393: #000000, #9603b4, #54ab30, #ffffff
 394: #000000, #9600b4, #54ab30, #ffffff
 395: #000000, #960cab, #54ab30, #ffffff
 396: #000000, #8d03c6, #54ab30, #ffffff
 397: #000000, #8d15bd, #54ab30, #ffffff
 398: #000000, #8d00c6, #54ab30, #ffffff
 399: #000000, #8400d8, #54ab30, #ffffff
 400: #000000, #9615a8, #54ab39, #ffffff
 401: #000000, #9603b4, #54ab39, #ffffff
 402: #000000, #9600b4, #54ab39, #ffffff
 403: #000000, #960cab, #54ab39, #ffffff
 404: #000000, #8d03c6, #54ab39, #ffffff
 405: #000000, #8d15bd, #54ab39, #ffffff
