 297: #000000, #412df7, #d5861a, #ffffff
 298: #000000, #3f2ff7, #d5861a, #ffffff
 299: #000000, #3e2ff7, #d5861a, #ffffff
 300: #000000, #2b36f7, #d5861a, #ffffff
 301: #000000, #2a36f7, #d5861a, #ffffff
 302: #000000, #2637f7, #d5861a, #ffffff
 303: #000000, #462df6, #d5861a, #ffffff
 304: #000000, #462cf6, #d5861a, #ffffff
 305: #000000, #452ef6, #d5861a, #ffffff
 306: #000000, #452df6, #d5861a, #ffffff
 307: #000000, #452cf6, #d5861a, #ffffff
 308: #000000, #442ef6, #d5861a, #ffffff
 309: #000000, #442df6, #d5861a, #ffffff
 310: #000000, #432ef6, #d5861a, #ffffff
 311: #000000, #422ef6, #d5861a, #ffffff
 312: #000000, #4030f6, #d5861a, #ffffff
 313: #000000, #3f30f6, #d5861a, #ffffff
 314: #000000, #2b35f7, #d5861a, #ffffff
 315: #000000, #2a35f7, #d5861a, #ffffff
 316: #000000, #2936f7, #d5861a, #ffffff
 317: #000000, #2935f7, #d5861a, #ffffff
 318: #000000, #2836f7, #d5861a, #ffffff
 319: #000000, #2835f7, #d5861a, #ffffff
 320: #000000, #2736f7, #d5861a, #ffffff
 321: #000000, #2735f7, #d5861a, #ffffff
 322: #000000, #2636f7, #d5861a, #ffffff
 323: #000000, #2635f7, #d5861a, #ffffff
 324: #000000, #2537f7, #d5861a, #ffffff
 325: #000000, #2536f7, #d5861a, #ffffff
 326: #000000, #2437f7, #d5861a, #ffffff
 327: #000000, #2436f7, #d5861a, #ffffff
 328: #000000, #2337f7, #d5861a, #ffffff
 329: #000000, #2336f7, #d5861a, #ffffff
 330: #000000, #1f38f7, #d5861a, #ffffff
 331: #000000, #1e38f7, #d5861a, #ffffff
 332: #000000, #1d38f7, #d5861a, #ffffff
 333: #000000, #1c38f7, #d5861a, #ffffff
 334: #000000, #1b38f7, #d5861a, #ffffff
 335: #000000, #1a39f7, #d5861a, #ffffff
 336: #000000, #1a38f7, #d5861a, #ffffff
 337: #000000, #442cf6, #d5861a, #ffffff
 338: #000000, #432df6, #d5861a, #ffffff
