 236: #000000, #0f4bd2, #de8100, #ffffff
 237: #000000, #0c4bd2, #de8100, #ffffff
 238: #000000, #094bd2, #de8100, #ffffff
 239: #000000, #064bd2, #de8100, #ffffff
 240: #000000, #034bd2, #de8100, #ffffff
 241: #000000, #004bd2, #de8100, #ffffff
 242: #000000, #094ecc, #de8100, #ffffff
 243: #000000, #064ecc, #de8100, #ffffff
 244: #000000, #034ecc, #de8100, #ffffff
 245: #000000, #004ecc, #de8100, #ffffff
 246: #000000, #482df3, #de8100, #ffffff
 247: #000000, #4227ff, #db8400, #ffffff
 248: #000000, #3c2aff, #db8400, #ffffff
 249: #000000, #5418ff, #db8400, #ffffff
 250: #000000, #511bff, #db8400, #ffffff
 251: #000000, #4e1eff, #db8400, #ffffff
 252: #000000, #4b21ff, #db8400, #ffffff
 253: #000000, #4824ff, #db8400, #ffffff
 254: #000000, #3f27ff, #db8400, #ffffff
 255: #000000, #392aff, #db8400, #ffffff
 256: #000000, #362aff, #db8400, #ffffff
 257: #000000, #332dff, #db8400, #ffffff
 258: #000000, #302dff, #db8400, #ffffff
 259: #000000, #2a30ff, #db8400, #ffffff
 260: #000000, #1e33ff, #db8400, #ffffff
 261: #000000, #4821ff, #db8400, #ffffff
 262: #000000, #4524ff, #db8400, #ffffff
 263: #000000, #2d2dff, #db8400, #ffffff
 264: #000000, #2730ff, #db8400, #ffffff
 265: #000000, #2430ff, #db8400, #ffffff
 266: #000000, #2130ff, #db8400, #ffffff
 267: #000000, #1b33ff, #db8400, #ffffff
 268: #000000, #1833ff, #db8400, #ffffff
 269: #000000, #1533ff, #db8400, #ffffff
 270: #000000, #1233ff, #db8400, #ffffff
 271: #000000, #0036ff, #db8400, #ffffff
 272: #000000, #4b24fc, #db8400, #ffffff
 273: #000000, #4827fc, #db8400, #ffffff
 274: #000000, #0f33ff, #db8400, #ffffff
 275: #000000, #0c33ff, #db8400, #ffffff
 276: #000000, #0933ff, #db8400, #ffffff
 277: #000000, #4824fc, #db8400, #ffffff
 278: #000000, #4527fc, #db8400, #ffffff
 279: #000000, #422afc, #db8400, #ffffff
 280: #000000, #3f2afc, #db8400, #ffffff
 281: #000000, #3c2dfc, #db8400, #ffffff
 282: #000000, #392dfc, #db8400, #ffffff
 283: #000000, #3330fc, #db8400, #ffffff
 284: #000000, #4e21fc, #db8400, #ffffff
 285: #000000, #3c2afc, #db8400, #ffffff
 286: #000000, #362dfc, #db8400, #ffffff
 287: #000000, #3030fc, #db8400, #ffffff
 288: #000000, #2d30fc, #db8400, #ffffff
 289: #000000, #2733fc, #db8400, #ffffff
 290: #000000, #2433fc, #db8400, #ffffff
 291: #000000, #1836fc, #db8400, #ffffff
 292: #000000, #2133fc, #db8400, #ffffff
 293: #000000, #1e33fc, #db8400, #ffffff
 294: #000000, #1536fc, #db8400, #ffffff
 295: #000000, #1236fc, #db8400, #ffffff
 296: #000000, #0f36fc, #db8400, #ffffff
 297: #000000, #0c36fc, #db8400, #ffffff
 298: #000000, #0936fc, #db8400, #ffffff
 299: #000000, #0636fc, #db8400, #ffffff
 300: #000000, #4b27f9, #db8400, #ffffff
 301: #000000, #482af9, #db8400, #ffffff
 302: #000000, #0336fc, #db8400, #ffffff
 303: #000000, #0036fc, #db8400, #ffffff
 304: #000000, #4827f9, #db8400, #ffffff
 305: #000000, #452af9, #db8400, #ffffff
 306: #000000, #422af9, #db8400, #ffffff
 307: #000000, #3f2df9, #db8400, #ffffff
 308: #000000, #3c2df9, #db8400, #ffffff
 309: #000000, #3930f9, #db8400, #ffffff
 310: #000000, #3033f9, #db8400, #ffffff
 311: #000000, #3630f9, #db8400, #ffffff
 312: #000000, #3330f9, #db8400, #ffffff
 313: #000000, #2d33f9, #db8400, #ffffff
 314: #000000, #2a33f9, #db8400, #ffffff
 315: #000000, #2436f9, #db8400, #ffffff
 316: #000000, #2136f9, #db8400, #ffffff
 317: #000000, #1e36f9, #db8400, #ffffff
 318: #000000, #0f39f9, #db8400, #ffffff
 319: #000000, #0c39f9, #db8400, #ffffff
 320: #000000, #1b36f9, #db8400, #ffffff
 321: #000000, #1836f9, #db8400, #ffffff
 322: #000000, #0939f9, #db8400, #ffffff
 323: #000000, #0639f9, #db8400, #ffffff
 324: #000000, #0339f9, #db8400, #ffffff
 325: #000000, #0039f9, #db8400, #ffffff
 326: #000000, #4b2af6, #db8400, #ffffff
 327: #000000, #482af6, #db8400, #ffffff
 328: #000000, #452df6, #db8400, #ffffff
 329: #000000, #3f30f6, #db8400, #ffffff
 330: #000000, #422df6, #db8400, #ffffff
 331: #000000, #3c30f6, #db8400, #ffffff
 332: #000000, #3633f6, #db8400, #ffffff
 333: #000000, #3333f6, #db8400, #ffffff
 334: #000000, #2d36f6, #db8400, #ffffff
 335: #000000, #3033f6, #db8400, #ffffff
 336: #000000, #2a36f6, #db8400, #ffffff
 337: #000000, #2736f6, #db8400, #ffffff
 338: #000000, #2436f6, #db8400, #ffffff
 339: #000000, #1e39f6, #db8400, #ffffff
 340: #000000, #1b39f6, #db8400, #ffffff
 341: #000000, #1839f6, #db8400, #ffffff
 342: #000000, #1539f6, #db8400, #ffffff
 343: #000000, #1239f6, #db8400, #ffffff
 344: #000000, #0f39f6, #db8400, #ffffff
 345: #000000, #0c39f6, #db8400, #ffffff
 346: #000000, #482df3, #db8400, #ffffff
 347: #000000, #4530f3, #db8400, #ffffff
 348: #000000, #4230f3, #db8400, #ffffff
 349: #000000, #3c33f3, #db8400, #ffffff
 350: #000000, #3933f3, #db8400, #ffffff
 351: #000000, #3336f3, #db8400, #ffffff
 352: #000000, #3036f3, #db8400, #ffffff
 353: #000000, #2739f3, #db8400, #ffffff
 354: #000000, #2d36f3, #db8400, #ffffff
 355: #000000, #2439f3, #db8400, #ffffff
 356: #000000, #2139f3, #db8400, #ffffff
 357: #000000, #1e39f3, #db8400, #ffffff
 358: #000000, #153cf3, #db8400, #ffffff
 359: #000000, #123cf3, #db8400, #ffffff
 360: #000000, #0f3cf3, #db8400, #ffffff
 361: #000000, #0c3cf3, #db8400, #ffffff
 362: #000000, #093cf3, #db8400, #ffffff
 363: #000000, #063cf3, #db8400, #ffffff
 364: #000000, #033cf3, #db8400, #ffffff
 365: #000000, #003cf3, #db8400, #ffffff
 366: #000000, #4233f0, #db8400, #ffffff
 367: #000000, #3f33f0, #db8400, #ffffff
 368: #000000, #3936f0, #db8400, #ffffff
 369: #000000, #3636f0, #db8400, #ffffff
 370: #000000, #3039f0, #db8400, #ffffff
 371: #000000, #2d39f0, #db8400, #ffffff
 372: #000000, #2a39f0, #db8400, #ffffff
 373: #000000, #213cf0, #db8400, #ffffff
 374: #000000, #1e3cf0, #db8400, #ffffff
 375: #000000, #2739f0, #db8400, #ffffff
 376: #000000, #1b3cf0, #db8400, #ffffff
 377: #000000, #183cf0, #db8400, #ffffff
 378: #000000, #153cf0, #db8400, #ffffff
 379: #000000, #123cf0, #db8400, #ffffff
