 362: #000000, #3f27ff, #ff6912, #ffffff
 363: #000000, #3f27ff, #ff690f, #ffffff
 364: #000000, #3f27ff, #ff690c, #ffffff
 365: #000000, #2a30ff, #ff6912, #ffffff
 366: #000000, #2a30ff, #ff690f, #ffffff
 367: #000000, #2a30ff, #ff690c, #ffffff
 368: #000000, #4524ff, #ff6912, #ffffff
 369: #000000, #4524ff, #ff690f, #ffffff
 370: #000000, #4524ff, #ff690c, #ffffff
 371: #000000, #2730ff, #ff6912, #ffffff
 372: #000000, #2730ff, #ff690f, #ffffff
 373: #000000, #2730ff, #ff690c, #ffffff
 374: #000000, #2430ff, #ff6912, #ffffff
 375: #000000, #2430ff, #ff690f, #ffffff
 376: #000000, #2430ff, #ff690c, #ffffff
 377: #000000, #541efc, #ff6912, #ffffff
 378: #000000, #541efc, #ff690f, #ffffff
 379: #000000, #541efc, #ff690c, #ffffff
 380: #000000, #5121fc, #ff6912, #ffffff
 381: #000000, #5121fc, #ff690f, #ffffff
 382: #000000, #5121fc, #ff690c, #ffffff
 383: #000000, #3330fc, #ff6912, #ffffff
 384: #000000, #3330fc, #ff690f, #ffffff
 385: #000000, #3330fc, #ff690c, #ffffff
 386: #000000, #541bfc, #ff6912, #ffffff
 387: #000000, #541bfc, #ff690f, #ffffff
 388: #000000, #541bfc, #ff690c, #ffffff
 389: #000000, #511efc, #ff6912, #ffffff
 390: #000000, #511efc, #ff690f, #ffffff
 391: #000000, #511efc, #ff690c, #ffffff
 392: #000000, #3030fc, #ff6912, #ffffff
 393: #000000, #3030fc, #ff690f, #ffffff
 394: #000000, #3030fc, #ff690c, #ffffff
 395: #000000, #2d30fc, #ff6912, #ffffff
 396: #000000, #2d30fc, #ff690f, #ffffff
 397: #000000, #2d30fc, #ff690c, #ffffff
 398: #000000, #5421f9, #ff6912, #ffffff
 399: #000000, #5421f9, #ff690f, #ffffff
 400: #000000, #5421f9, #ff690c, #ffffff
 401: #000000, #541ef9, #ff6912, #ffffff
 402: #000000, #541ef9, #ff690f, #ffffff
 403: #000000, #541ef9, #ff690c, #ffffff
 404: #000000, #5121f9, #ff6912, #ffffff
 405: #000000, #5121f9, #ff690f, #ffffff
 406: #000000, #5121f9, #ff690c, #ffffff
 407: #000000, #3033f9, #ff6912, #ffffff
 408: #000000, #3033f9, #ff690f, #ffffff
 409: #000000, #3033f9, #ff690c, #ffffff
 410: #000000, #3330f9, #ff6912, #ffffff
 411: #000000, #3330f9, #ff690f, #ffffff
 412: #000000, #3330f9, #ff690c, #ffffff
 413: #000000, #2d33f9, #ff6912, #ffffff
 414: #000000, #2d33f9, #ff690f, #ffffff
 415: #000000, #2d33f9, #ff690c, #ffffff
 416: #000000, #5127f6, #ff6912, #ffffff
 417: #000000, #5127f6, #ff690f, #ffffff
 418: #000000, #5127f6, #ff690c, #ffffff
 419: #000000, #5124f6, #ff6912, #ffffff
 420: #000000, #5124f6, #ff690f, #ffffff
 421: #000000, #5124f6, #ff690c, #ffffff
 422: #000000, #452df6, #ff6912, #ffffff
 423: #000000, #452df6, #ff690f, #ffffff
