diff #253 at coord 51,3983: (217, 217, 217) != (218, 218, 218)
diff #254 at coord 51,3999: (217, 217, 217) != (218, 218, 218)
diff #255 at coord 51,4015: (217, 217, 217) != (218, 218, 218)
diff #256 at coord 51,4031: (217, 217, 217) != (218, 218, 218)
diff #257 at coord 51,4047: (217, 217, 217) != (218, 218, 218)
diff #258 at coord 52,3967: (217, 217, 217) != (218, 218, 218)
diff #259 at coord 52,3983: (217, 217, 217) != (218, 218, 218)
diff #260 at coord 52,3999: (217, 217, 217) != (218, 218, 218)
diff #261 at coord 52,4015: (217, 217, 217) != (218, 218, 218)
diff #262 at coord 52,4031: (217, 217, 217) != (218, 218, 218)
diff #263 at coord 52,4047: (217, 217, 217) != (218, 218, 218)
diff #264 at coord 53,3212: (174, 174, 174) != (175, 175, 175)
diff #265 at coord 53,3228: (174, 174, 174) != (175, 175, 175)
diff #266 at coord 53,3244: (174, 174, 174) != (175, 175, 175)
diff #267 at coord 53,3967: (217, 217, 217) != (218, 218, 218)
diff #268 at coord 53,3983: (217, 217, 217) != (218, 218, 218)
diff #269 at coord 53,3999: (217, 217, 217) != (218, 218, 218)
diff #270 at coord 53,4015: (217, 217, 217) != (218, 218, 218)
diff #271 at coord 53,4031: (217, 217, 217) != (218, 218, 218)
diff #272 at coord 53,4047: (217, 217, 217) != (218, 218, 218)
diff #273 at coord 54,3196: (174, 174, 174) != (175, 175, 175)
diff #274 at coord 54,3212: (174, 174, 174) != (175, 175, 175)
diff #275 at coord 54,3228: (174, 174, 174) != (175, 175, 175)
diff #276 at coord 54,3244: (174, 174, 174) != (175, 175, 175)
diff #277 at coord 55,3196: (174, 174, 174) != (175, 175, 175)
diff #278 at coord 55,3212: (174, 174, 174) != (175, 175, 175)
diff #279 at coord 55,3228: (174, 174, 174) != (175, 175, 175)
diff #280 at coord 56,3180: (174, 174, 174) != (175, 175, 175)
diff #281 at coord 56,3196: (174, 174, 174) != (175, 175, 175)
diff #282 at coord 56,3212: (174, 174, 174) != (175, 175, 175)
diff #283 at coord 56,3228: (174, 174, 174) != (175, 175, 175)
diff #284 at coord 56,3758: (203, 203, 203) != (204, 204, 204)
diff #285 at coord 56,3774: (203, 203, 203) != (204, 204, 204)
diff #286 at coord 56,3790: (203, 203, 203) != (204, 204, 204)
diff #287 at coord 56,3806: (203, 203, 203) != (204, 204, 204)
diff #288 at coord 56,3822: (203, 203, 203) != (204, 204, 204)
diff #289 at coord 57,3742: (203, 203, 203) != (204, 204, 204)
diff #290 at coord 57,3758: (203, 203, 203) != (204, 204, 204)
diff #291 at coord 57,3774: (203, 203, 203) != (204, 204, 204)
diff #292 at coord 57,3790: (203, 203, 203) != (204, 204, 204)
diff #293 at coord 57,3806: (203, 203, 203) != (204, 204, 204)
diff #294 at coord 58,3742: (203, 203, 203) != (204, 204, 204)
diff #295 at coord 58,3758: (203, 203, 203) != (204, 204, 204)
diff #296 at coord 58,3774: (203, 203, 203) != (204, 204, 204)
diff #297 at coord 58,3790: (203, 203, 203) != (204, 204, 204)
diff #298 at coord 58,3806: (203, 203, 203) != (204, 204, 204)
diff #299 at coord 59,3726: (203, 203, 203) != (204, 204, 204)
diff #300 at coord 59,3742: (203, 203, 203) != (204, 204, 204)
diff #301 at coord 59,3758: (203, 203, 203) != (204, 204, 204)
diff #302 at coord 59,3774: (203, 203, 203) != (204, 204, 204)
diff #303 at coord 59,3790: (203, 203, 203) != (204, 204, 204)
diff #304 at coord 60,2939: (160, 160, 160) != (161, 161, 161)
diff #305 at coord 60,2955: (160, 160, 160) != (161, 161, 161)
diff #306 at coord 60,3726: (203, 203, 203) != (204, 204, 204)
diff #307 at coord 60,3742: (203, 203, 203) != (204, 204, 204)
diff #308 at coord 60,3758: (203, 203, 203) != (204, 204, 204)
diff #309 at coord 60,3774: (203, 203, 203) != (204, 204, 204)
diff #310 at coord 60,3790: (203, 203, 203) != (204, 204, 204)
diff #311 at coord 61,3710: (203, 203, 203) != (204, 204, 204)
diff #312 at coord 61,3726: (203, 203, 203) != (204, 204, 204)
diff #313 at coord 61,3742: (203, 203, 203) != (204, 204, 204)
diff #314 at coord 61,3758: (203, 203, 203) != (204, 204, 204)
diff #315 at coord 61,3774: (203, 203, 203) != (204, 204, 204)
diff #316 at coord 62,3710: (203, 203, 203) != (204, 204, 204)
diff #317 at coord 62,3726: (203, 203, 203) != (204, 204, 204)
diff #318 at coord 62,3742: (203, 203, 203) != (204, 204, 204)
diff #319 at coord 62,3758: (203, 203, 203) != (204, 204, 204)
diff #320 at coord 62,3774: (203, 203, 203) != (204, 204, 204)
diff #321 at coord 64,3485: (189, 189, 189) != (190, 190, 190)
diff #322 at coord 64,3501: (189, 189, 189) != (190, 190, 190)
diff #323 at coord 64,3517: (189, 189, 189) != (190, 190, 190)
diff #324 at coord 64,3533: (189, 189, 189) != (190, 190, 190)
diff #325 at coord 65,3485: (189, 189, 189) != (190, 190, 190)
diff #326 at coord 65,3501: (189, 189, 189) != (190, 190, 190)
diff #327 at coord 65,3517: (189, 189, 189) != (190, 190, 190)
diff #328 at coord 66,3469: (189, 189, 189) != (190, 190, 190)
diff #329 at coord 66,3485: (189, 189, 189) != (190, 190, 190)
diff #330 at coord 66,3501: (189, 189, 189) != (190, 190, 190)
diff #331 at coord 66,3517: (189, 189, 189) != (190, 190, 190)
diff #332 at coord 67,3453: (189, 189, 189) != (190, 190, 190)
diff #333 at coord 67,3469: (189, 189, 189) != (190, 190, 190)
diff #334 at coord 67,3485: (189, 189, 189) != (190, 190, 190)
diff #335 at coord 67,3501: (189, 189, 189) != (190, 190, 190)
diff #336 at coord 68,3453: (189, 189, 189) != (190, 190, 190)
diff #337 at coord 68,3469: (189, 189, 189) != (190, 190, 190)
diff #338 at coord 68,3485: (189, 189, 189) != (190, 190, 190)
diff #339 at coord 68,3501: (189, 189, 189) != (190, 190, 190)
diff #340 at coord 70,3212: (175, 175, 175) != (176, 176, 176)
diff #341 at coord 70,3228: (175, 175, 175) != (176, 176, 176)
diff #342 at coord 70,3244: (175, 175, 175) != (176, 176, 176)
diff #343 at coord 70,4015: (218, 218, 218) != (219, 219, 219)
diff #344 at coord 70,4031: (218, 218, 218) != (219, 219, 219)
diff #345 at coord 70,4047: (218, 218, 218) != (219, 219, 219)
diff #346 at coord 70,4063: (218, 218, 218) != (219, 219, 219)
diff #347 at coord 70,4079: (218, 218, 218) != (219, 219, 219)
diff #348 at coord 71,3196: (175, 175, 175) != (176, 176, 176)
diff #349 at coord 71,3212: (175, 175, 175) != (176, 176, 176)
diff #350 at coord 71,3228: (175, 175, 175) != (176, 176, 176)
diff #351 at coord 71,3999: (218, 218, 218) != (219, 219, 219)
diff #352 at coord 71,4015: (218, 218, 218) != (219, 219, 219)
diff #353 at coord 71,4031: (218, 218, 218) != (219, 219, 219)
diff #354 at coord 71,4047: (218, 218, 218) != (219, 219, 219)
diff #355 at coord 71,4063: (218, 218, 218) != (219, 219, 219)
diff #356 at coord 71,4079: (218, 218, 218) != (219, 219, 219)
diff #357 at coord 72,3999: (218, 218, 218) != (219, 219, 219)
diff #358 at coord 72,4015: (218, 218, 218) != (219, 219, 219)
diff #359 at coord 72,4031: (218, 218, 218) != (219, 219, 219)
diff #360 at coord 72,4047: (218, 218, 218) != (219, 219, 219)
diff #361 at coord 72,4063: (218, 218, 218) != (219, 219, 219)
diff #362 at coord 73,3983: (218, 218, 218) != (219, 219, 219)
diff #363 at coord 73,3999: (218, 218, 218) != (219, 219, 219)
diff #364 at coord 73,4015: (218, 218, 218) != (219, 219, 219)
diff #365 at coord 73,4031: (218, 218, 218) != (219, 219, 219)
diff #366 at coord 73,4047: (218, 218, 218) != (219, 219, 219)
diff #367 at coord 74,3967: (218, 218, 218) != (219, 219, 219)
diff #368 at coord 74,3983: (218, 218, 218) != (219, 219, 219)
diff #369 at coord 74,3999: (218, 218, 218) != (219, 219, 219)
diff #370 at coord 74,4015: (218, 218, 218) != (219, 219, 219)
diff #371 at coord 74,4031: (218, 218, 218) != (219, 219, 219)
diff #372 at coord 74,4047: (218, 218, 218) != (219, 219, 219)
diff #373 at coord 75,2923: (161, 161, 161) != (162, 162, 162)
diff #374 at coord 75,2939: (161, 161, 161) != (162, 162, 162)
diff #375 at coord 75,3967: (218, 218, 218) != (219, 219, 219)
diff #376 at coord 75,3983: (218, 218, 218) != (219, 219, 219)
diff #377 at coord 75,3999: (218, 218, 218) != (219, 219, 219)
diff #378 at coord 75,4015: (218, 218, 218) != (219, 219, 219)
diff #379 at coord 75,4031: (218, 218, 218) != (219, 219, 219)
diff #380 at coord 76,3742: (204, 204, 204) != (205, 205, 205)
diff #381 at coord 76,3758: (204, 204, 204) != (205, 205, 205)
diff #382 at coord 76,3774: (204, 204, 204) != (205, 205, 205)
diff #383 at coord 76,3790: (204, 204, 204) != (205, 205, 205)
diff #384 at coord 76,3806: (204, 204, 204) != (205, 205, 205)
diff #385 at coord 76,3951: (218, 218, 218) != (219, 219, 219)
diff #386 at coord 76,3967: (218, 218, 218) != (219, 219, 219)
diff #387 at coord 76,3983: (218, 218, 218) != (219, 219, 219)
diff #388 at coord 76,3999: (218, 218, 218) != (219, 219, 219)
diff #389 at coord 76,4015: (218, 218, 218) != (219, 219, 219)
diff #390 at coord 76,4031: (218, 218, 218) != (219, 219, 219)
diff #391 at coord 77,3742: (204, 204, 204) != (205, 205, 205)
diff #392 at coord 77,3758: (204, 204, 204) != (205, 205, 205)
diff #393 at coord 77,3774: (204, 204, 204) != (205, 205, 205)
diff #394 at coord 77,3790: (204, 204, 204) != (205, 205, 205)
diff #395 at coord 78,3726: (204, 204, 204) != (205, 205, 205)
diff #396 at coord 78,3742: (204, 204, 204) != (205, 205, 205)
diff #397 at coord 78,3758: (204, 204, 204) != (205, 205, 205)
diff #398 at coord 78,3774: (204, 204, 204) != (205, 205, 205)
diff #399 at coord 78,3790: (204, 204, 204) != (205, 205, 205)
diff #400 at coord 79,3710: (204, 204, 204) != (205, 205, 205)
diff #401 at coord 79,3726: (204, 204, 204) != (205, 205, 205)
diff #402 at coord 79,3742: (204, 204, 204) != (205, 205, 205)
diff #403 at coord 79,3758: (204, 204, 204) != (205, 205, 205)
diff #404 at coord 79,3774: (204, 204, 204) != (205, 205, 205)
diff #405 at coord 80,3694: (204, 204, 204) != (205, 205, 205)
diff #406 at coord 80,3710: (204, 204, 204) != (205, 205, 205)
diff #407 at coord 80,3726: (204, 204, 204) != (205, 205, 205)
diff #408 at coord 80,3742: (204, 204, 204) != (205, 205, 205)
diff #409 at coord 80,3758: (204, 204, 204) != (205, 205, 205)
diff #410 at coord 81,3469: (190, 190, 190) != (191, 191, 191)
diff #411 at coord 81,3485: (190, 190, 190) != (191, 191, 191)
