 475: #000000, #c615eb, #ffffff
 476: #000000, #c614eb, #ffffff
 477: #000000, #c519eb, #ffffff
 478: #000000, #c41deb, #ffffff
 479: #000000, #c018f4, #ffffff
 480: #000000, #c017f4, #ffffff
 481: #000000, #c015f5, #ffffff
 482: #000000, #c014f5, #ffffff
 483: #000000, #c30ff4, #ffffff
 484: #000000, #c30ef4, #ffffff
 485: #000000, #c30df4, #ffffff
 486: #000000, #c216f2, #ffffff
 487: #000000, #c215f2, #ffffff
 488: #000000, #c214f2, #ffffff
 489: #000000, #c213f2, #ffffff
 490: #000000, #bc30e4, #ffffff
 491: #000000, #bc2fe5, #ffffff
 492: #000000, #bc2fe4, #ffffff
 493: #000000, #bc2ee5, #ffffff
 494: #000000, #be2ee5, #ffffff
 495: #000000, #be2de5, #ffffff
 496: #000000, #c414f1, #ffffff
 497: #000000, #c413f1, #ffffff
 498: #000000, #c412f2, #ffffff
 499: #000000, #c412f1, #ffffff
 500: #000000, #c411f2, #ffffff
 501: #000000, #c410f2, #ffffff
 502: #000000, #c40ff2, #ffffff
 503: #000000, #c610ea, #ffffff
 504: #000000, #c60fea, #ffffff
 505: #000000, #c516ea, #ffffff
 506: #000000, #c515ea, #ffffff
 507: #000000, #c41bea, #ffffff
 508: #000000, #c41aea, #ffffff
 509: #000000, #c31eea, #ffffff
 510: #000000, #bf2ae4, #ffffff
 511: #000000, #be2de4, #ffffff
 512: #000000, #be2ce4, #ffffff
 513: #000000, #ba33e3, #ffffff
 514: #000000, #c016f5, #ffffff
 515: #000000, #c013f6, #ffffff
 516: #000000, #c012f6, #ffffff
 517: #000000, #bf2be5, #ffffff
 518: #000000, #c900eb, #ffffff
 519: #000000, #c80aeb, #ffffff
 520: #000000, #c809eb, #ffffff
 521: #000000, #c808eb, #ffffff
 522: #000000, #c711eb, #ffffff
 523: #000000, #c710eb, #ffffff
 524: #000000, #c616eb, #ffffff
 525: #000000, #c312f4, #ffffff
 526: #000000, #c311f4, #ffffff
 527: #000000, #c310f4, #ffffff
 528: #000000, #c30ff5, #ffffff
 529: #000000, #c30ef5, #ffffff
 530: #000000, #c30df5, #ffffff
 531: #000000, #c30cf5, #ffffff
 532: #000000, #c30bf6, #ffffff
 533: #000000, #c30bf5, #ffffff
 534: #000000, #c30af6, #ffffff
 535: #000000, #c30af5, #ffffff
 536: #000000, #c309f6, #ffffff
 537: #000000, #c309f5, #ffffff
 538: #000000, #c308f6, #ffffff
 539: #000000, #c308f5, #ffffff
 540: #000000, #c307f6, #ffffff
 541: #000000, #c306f6, #ffffff
 542: #000000, #c305f6, #ffffff
 543: #000000, #c304f6, #ffffff
 544: #000000, #c20df7, #ffffff
 545: #000000, #c20cf7, #ffffff
 546: #000000, #c20bf7, #ffffff
 547: #000000, #c20af7, #ffffff
 548: #000000, #c209f7, #ffffff
 549: #000000, #c208f7, #ffffff
 550: #000000, #c207f8, #ffffff
 551: #000000, #c207f7, #ffffff
 552: #000000, #c206f8, #ffffff
 553: #000000, #c206f7, #ffffff
 554: #000000, #c205f8, #ffffff
 555: #000000, #c204f8, #ffffff
 556: #000000, #c203f8, #ffffff
 557: #000000, #c202f8, #ffffff
 558: #000000, #be2de6, #ffffff
 559: #000000, #be2ce7, #ffffff
 560: #000000, #be2ce6, #ffffff
 561: #000000, #c413f2, #ffffff
 562: #000000, #c410f3, #ffffff
 563: #000000, #c40ff3, #ffffff
 564: #000000, #c40ef3, #ffffff
 565: #000000, #c40df4, #ffffff
 566: #000000, #c40df3, #ffffff
 567: #000000, #c40cf4, #ffffff
 568: #000000, #c40cf3, #ffffff
 569: #000000, #c40bf4, #ffffff
 570: #000000, #c40bf3, #ffffff
 571: #000000, #bb30e6, #ffffff
 572: #000000, #bb2fe6, #ffffff
 573: #000000, #bf15f7, #ffffff
 574: #000000, #bf14f7, #ffffff
 575: #000000, #bf12f8, #ffffff
 576: #000000, #c027e8, #ffffff
 577: #000000, #c026e9, #ffffff
 578: #000000, #c804ea, #ffffff
 579: #000000, #c803ea, #ffffff
 580: #000000, #c613ea, #ffffff
 581: #000000, #c612ea, #ffffff
 582: #000000, #c611ea, #ffffff
 583: #000000, #c518ea, #ffffff
 584: #000000, #c517ea, #ffffff
 585: #000000, #c41cea, #ffffff
 586: #000000, #c31fea, #ffffff
 587: #000000, #b935e2, #ffffff
 588: #000000, #b934e3, #ffffff
 589: #000000, #c50df1, #ffffff
 590: #000000, #c306f7, #ffffff
 591: #000000, #c305f7, #ffffff
 592: #000000, #c304f7, #ffffff
 593: #000000, #c303f7, #ffffff
 594: #000000, #c302f7, #ffffff
 595: #000000, #c204f9, #ffffff
 596: #000000, #c203f9, #ffffff
 597: #000000, #c202f9, #ffffff
 598: #000000, #c200f9, #ffffff
 599: #000000, #bd2ce8, #ffffff
