 368: #000000, #428709, #ffffff
 369: #000000, #428706, #ffffff
 370: #000000, #428703, #ffffff
 371: #000000, #428721, #ffffff
 372: #000000, #42871e, #ffffff
 373: #000000, #42871b, #ffffff
 374: #000000, #428718, #ffffff
 375: #000000, #428715, #ffffff
 376: #000000, #ab3fed, #ffffff
 377: #000000, #1b8a18, #ffffff
 378: #000000, #188a18, #ffffff
 379: #000000, #158a18, #ffffff
 380: #000000, #128a18, #ffffff
 381: #000000, #ae3fea, #ffffff
 382: #000000, #128a0f, #ffffff
 383: #000000, #0f8a0f, #ffffff
 384: #000000, #0c8a0f, #ffffff
 385: #000000, #218a1b, #ffffff
 386: #000000, #a851cc, #ffffff
 387: #000000, #cc0fde, #ffffff
 388: #000000, #b445cc, #ffffff
 389: #000000, #ae36f6, #ffffff
 390: #000000, #cc12de, #ffffff
 391: #000000, #3c871e, #ffffff
 392: #000000, #ae39f3, #ffffff
 393: #000000, #c91ed8, #ffffff
 394: #000000, #c627d8, #ffffff
 395: #000000, #428724, #ffffff
 396: #000000, #3f8724, #ffffff
 397: #000000, #967218, #ffffff
 398: #000000, #967215, #ffffff
 399: #000000, #9c6f21, #ffffff
 400: #000000, #b742cc, #ffffff
 401: #000000, #b12dff, #ffffff
 402: #000000, #cf03de, #ffffff
 403: #000000, #cf00de, #ffffff
 404: #000000, #1e8a1b, #ffffff
 405: #000000, #1b8a1b, #ffffff
 406: #000000, #188a1b, #ffffff
 407: #000000, #158a1b, #ffffff
 408: #000000, #128a1b, #ffffff
 409: #000000, #a84bdb, #ffffff
 410: #000000, #bd39d2, #ffffff
 411: #000000, #a551cf, #ffffff
 412: #000000, #c921d8, #ffffff
 413: #000000, #128a12, #ffffff
 414: #000000, #0f8a12, #ffffff
 415: #000000, #0c8a12, #ffffff
 416: #000000, #ab45e4, #ffffff
 417: #000000, #ae30ff, #ffffff
 418: #000000, #a26c15, #ffffff
 419: #000000, #a26c12, #ffffff
 420: #000000, #a26c0f, #ffffff
 421: #000000, #a26c0c, #ffffff
 422: #000000, #a26c09, #ffffff
 423: #000000, #a26c06, #ffffff
 424: #000000, #a26c03, #ffffff
 425: #000000, #a26c00, #ffffff
 426: #000000, #ab3cf3, #ffffff
 427: #000000, #5772cc, #ffffff
 428: #000000, #ae3cf0, #ffffff
 429: #000000, #a845e7, #ffffff
 430: #000000, #c330d2, #ffffff
 431: #000000, #c036d2, #ffffff
 432: #000000, #cc15d8, #ffffff
 433: #000000, #39871e, #ffffff
 434: #000000, #3c8724, #ffffff
 435: #000000, #a84ed5, #ffffff
 436: #000000, #a554c9, #ffffff
 437: #000000, #ba3fcc, #ffffff
 438: #000000, #a257c0, #ffffff
 439: #000000, #ae33fc, #ffffff
 440: #000000, #a26c18, #ffffff
 441: #000000, #3f8727, #ffffff
 442: #000000, #218a1e, #ffffff
 443: #000000, #1e8a1e, #ffffff
 444: #000000, #1b8a1e, #ffffff
 445: #000000, #188a1e, #ffffff
 446: #000000, #158a1e, #ffffff
